
# Language file for plaintext-parser.php program
# Version 1.11 - 26-Sep-2007
# translation - Spanish by Aerolugo, Luis Gil  http://meteo.aerolugo.com/
#
charset|ISO-8859-1|
langlookup|Precipitation possible and windy within 6 hours|Riesgo de precipitaciones y vientos fuertes  en las próximas 6 horas| 
langlookup|Precipitation possible within 12 hours|Riesgo de precipitaciones en las próximas 12 horas| 
langlookup|Precipitation possible within 12 hours, possibly heavy at times|Riesgo de precipitaciones en las próximas 12 horas con posibilidad de fuertes chubascos|
langlookup|Precipitation possible within 12 to 24 hours|Riesgo de precipitaciones en las próximas 12 a 24 horas|
langlookup|Precipitation possible within 12 to 24 hours Windy|Riesgo de precipitaciones en las próximas 12 a 24 horas|
langlookup|Precipitation possible within 24 hours|Riesgo de precipitaciones en las próximas 24 horas|
langlookup|Precipitation possible within 24 to 48 hours|Riesgo de precipitaciones en las próximas 24 a 48 horas|
langlookup|Precipitation possible within 6 hours|Riesgo de precipitaciones en las próximas 6 horas|
langlookup|Precipitation possible within 6 hours windy with possible wind shift to the W, NW, or N|Riesgo de precipitaciones en las próximas 6 horas.  Viento fuerte con posible cambio de dirección del viento hacia el Oeste, Noroeste o hacia el Norte|
langlookup|Precipitation possible within 6 hours windy with possible wind shift to the w,nw, or n|Niederschläge möglich in den nächsten 6 Stunden. Windig mit mögliche Windänderung nach W, NW oder N .| Riesgo de precipitaciones en las próximas 6 horas.|  Viento fuerte  con posible cambio de dirección del viento hacia el Oeste, Noroeste o hacia el Norte
langlookup|Precipitation possible within 6 to 12 hours windy|Riesgo de precipitaciones  en las próximas 6 a 12 horas. Viento fuerte
langlookup|Precipitation possible within 6 to 12 hours, possibly heavy at times|Riesgo de precipitaciones  en las próximas 6 a 12 horas con posibilidad de fuertes chubascos langlookup|Precipitation possible within 12 hours|
langlookup|Precipitation possibly heavy at times and ending within 12 hrs|Riesgo de precipitaciones   con posibilidad de fuertes chubascos e las próximas 12 horas|
langlookup|Windy|Viento fuerte|
langlookup|Windy with possible wind shift to the W  NW  Or N|Viento fuerte con posible cambio de dirección del viento hacia el Oeste, Noroeste o hacia el Norte|
langlookup|Windy with possible wind shift to the W, NW, or N|Viento fuerte con posible cambio de dirección del viento hacia el Oeste, Noroeste o hacia el Norte|
langlookup|Windy with possible wind shift to the w, nw, or n|Viento fuerte con posible cambio de dirección del viento hacia el Oeste, Noroeste o hacia el Norte|

#Ende Vantage
# --- end of language file ------
