|conf-default_text|De standaardwaarde is OK in de meeste gevallen <br /> Alleen dit veranderen als u zeker weet.
|conf-contact pagina|Als u deze instelling laten zoals is, zal er een kleine schakel in de voettekst op de contactpagina en de contact pagina zal worden in het menu als een aparte keuze.
|conf-contactformulier|Als u een contact pagina moet je de juiste e-mailadressen hier opgeven inbegrepen. Gebruik een noreply @ adres voor de webmaster e-mail van (die de bezoeker ziet als hij vraagt ​​om een ​​kopie van de e-mail).
|conf-contactEmailTo|Gebruik een geldig e-mailadres in om de vragen van de bezoeker te ontvangen. Dit adres wordt niet gezien door de bezoeker dus robots / hackers niet kan hen ook te zien.
|conf-noaaPage|Deze pagina wordt gebruikt om de NOAA prognoses geven
|conf-noaaIconsOwn|Wilt u de standaard template pictogrammen of de NOAA pictogrammen gebruiken
|conf-cwopPage|Geeft uw CWOP statisatics
|conf-ecPage|Gebruik Hanes Environment Canada prognoses
|conf-pages_visited|Optional "debug" type pagina telt alle bezochte pagina's en kan een sorteerbare lijst weer te geven van het.
|conf-Cam|Alleen in staat deze als je een webcam en webcam foto's te laten zien.
|conf-Cam Side|Een smal webcam foto wordt in de side-areaswhich getoond wordt vergroot op de bovenkant van de pagina Wanneer de gebruikers op het.
|conf-webcam pagina|Gebruiken we een aparte pagina of is het voldoende om een ​​pop-up van de kleine kant-gebied afbeelding te gebruiken.
|conf-webcam nacht|Hebben we behoefte aan een "het is 's nachts" message-beeld of doen we weer de normale webcam-afbeelding
|conf-webcamImgNight|ingesteld op de locatie van de nacht-time vervanger beeld.
|conf-webcamName_1|De shortname afbeelding van de webcam boven.
|conf-webcamImg_1|De exacte link naar imago van de webcam.
|conf-webcam_2|Alleen in staat deze als je een tweede webcam met webcam foto's te laten zien.
|conf-webcamName_2|De shortname afbeelding van de webcam boven.
|conf-webcamImg_2|De exacte link naar imago van de webcam.
|conf-wxsimPage|Als u gekocht en gebruikt WXSIM dit kan hier worden ingesteld
|conf-wxsimData|De locatie van de geüploade bestanden is WXSIM Vaak is de wortel, die is ingesteld als de standaard waarde <br />. Als de bestanden in een andere map, geeft u het pad ten opzichte van het weer ?? / map.
|conf-wxsim_file|Er zijn drie beschikbare bestanden WXSIM waarvan er twee worden gebruikt. Gebreke blijven van de meest uitgebreide bestand wordt gebruikt. Als er fouten in het script of in een bestand, kan men hier tussen de bestanden te schakelen.
|conf-wxsimIconsOwn|Het sjabloon maakt gebruik van dezelfde iconen voor alle prognoses. Maar als je liever de iconen gebruiken uit de voorspellers Zelf U kunt deed voor elke afzonderlijke Forecaster. <br /> Er zijn geen "eigen iconen", maar voor WXSIM Vaak YrNo pictogrammen worden gebruikt als vervanging.
|conf-Meteoplug|Heeft u een abonnement op de betaalde diensten voor grafische of Metohub Meteo Bridge <br />. Of doet u als uw Meteoplug "Weatherprogram" te gebruiken.
|conf-wd_live|Heeft u lopen Weather Display Live op uw webserver <br /> Dit FLASH programma moet clientraw * bestanden en het is een betaalde programma ..
|conf-MeteoWare|MeteoWare is een gratis programma FLASH Welke toont een real-time dashboard.
|conf-fctOrg|Hier selecteert u de standaard prognose daarmee bereikt avilable op de </ b> Start pagina </ b>.
|conf-multi_forecast|Wilt u een dropdown met de namen van de "nabije" Cities op de top van elke prognose & lt ;? Br /> Bezoekers kunnen dan niet alleen kiezen voor je eigen stad, maar zo someother degenen.
|conf-select_lat_lon|Om deze drop-down selectie een bestand met de andere stad-namen en programma-toetsen aanwezig is te gebruiken in uw "_my_texts /" map. Als u dit bestand opgeslagen op een andere locatie die u kunt instellen locatie hier deed.
|conf-select_ec|Om dit drop down selectie met EC-scripts een bestand met de andere stad-namen en programma-toetsen aanwezig is te gebruiken in uw "_my_texts /" map. Als u dit bestand opgeslagen op een andere locatie die u kunt instellen locatie hier deed.? 
|conf-wuPage|Wilt u een weer-voorspelling van Weather-Underground <br /> Wees u ervan bewust thatthere zijn oft vertaling probleem met andere langauges dan Engels.
|conf-wuKey|Als u wilt dat de One Page WU vooruitzicht (en de almanak data op het dashboard) te gebruiken moet je een gratis sleutel te vragen en deze instelling te wijzigen.
|conf-wuIconsOwn|Het sjabloon maakt gebruik van dezelfde iconen voor alle prognoses <br /> Maar als u liever de WU pictogrammen worden gebruikt in de WU voorspellen U kunt hier deed ..
|conf-wuIconsCache|U kunt kiezen dan de cache WU pictogrammen gebruikt of halen ze uit de WU website.
|conf-metnoPage|Deze uitgebreide prognose vormen de Norwegion Weather Service is de meest gebruikte één. <br /> Zij leveren een prognose voor elke plaats in de wereld en deed zonder sleutel of een bijzondere plek ID. <br /> Alleen uw lengte / breedte worden gebruikt om deze uitgebreide prognose te verkrijgen.
|conf-metnoicons|Wilt u de standaard sjabloon iconen of de Yr.No gebruiken (als er geen Met.no) pictogrammen.
|conf-yrnoPage|Een andere Noorse voorspeller Welke Genereert zo uitgebreid een prognose maar zo levert een meteogram in png-formaat. Wanneer u gebruik maakt van de "smart-phone / mobile" pagina's moet je de yrNo Instellingen correct opgeven als deze prognose wordt gebruikt op die pagina's.
|conf-yrnoID|op zoek naar de juiste Land / Regio [/ sub-regio] / Stad code Gebruik de link en zoek de dichtstbijzijnde stad naar uw plaats. In de browser adres gebied vind je de juiste code. Voorbeeld http://www.yr.no/place/&lt;b> België / Vlaanderen / Leuven / </ b>
|conf-select_yrno|Om de drop-down selectie u een klein bestand met de verschillende namen en de toetsen moeten gebruiken. Het is aanwezig in uw "_my_texts /" map. Als u dit bestand opgeslagen op een andere locatie die u kunt instellen locatie hier deed.
|conf-hwaPage|De "Het Weer Actueel" weerstations hebben hun eigen prognose data. Je moet lid te zijn en correct geregistreerd te hebben om ID en een sleutel.
|conf-hwaXmlId|U ophalen uw </ b> hwaXmlId </ b> bij het beheer pagina voor je Weer-station aan de HWA website.
|conf-hwaXmlKey|Hetzelfde geldt voor de <b> hwaXmlKey </ b>
|conf-hwaIconsOwn|Wilt u de standaard template pictogrammen of de HWA pictogrammen gebruiken?
|conf-yahoo pagina|Zoals Yahoo ook kunnen leveren de huidige weersomstandigheden en Lijkt een betrouwbare 24/7 website hebben, is dit 5-daagse weersverwachting wordt vaak gebruikt op de startpagina.
|conf-yahooIconsOwn|Wilt u de standaard template pictogrammen of de Yahoo pictogrammen gebruiken?
|conf-wereld pagina|Dit kleine wereldwijd prognose heeft een gratis sleutel.
|conf-worldAPI|Pas Volgens de aard van de sleutel die u / hebt reqquested.
|conf-worldKey|Je moet een gratis sleutel van hun plaats te krijgen. De voorspelling is reterieved van lengte / breedte-instellingen, zodat bij ID niet nodig
|conf-worldKey2|Als u op dit moment vragen om API-key krijg je een sleutel type 2. je hebt hier ingesteld. Als u al een ouder type-1 Key gebruik maken van de andere instelling.
|conf-worldIconsOwn|Wilt u de standaard sjabloon iconen of de Weather pictogrammen gebruiken?
|conf-autorefresh|De pagina wordt automatisch vernieuwd na ther aantal seconden dat u hier & lt ingesteld; br /> Laat een nul om deze functie vooral vervelend te schakelen ..
|conf-wsAjaxDataTime|Tijd tussen verzoek om nieuwe gegevens over Ajax gebaseerde pagina (dashboard) in seconden. <br /> minimale wachttijd is 10 seconden. <br /> Gebruik deze tijd veel korter dan is het uploaden van uw real-time data bestanden niet ingesteld.
|conf-wsSteelTime|Zelfde type instelling, maar nu voor de SteelSeries pagina's. <br /> Normaal ingesteld hetzelfde als voor de Ajax-updates.
|conf-charset|<b> De template is volledig HTML 5 / UTF-8 </ b>. <br /> Afzonderlijke pagina's die behoefte hebben aan een ander karakter-set kan een pagina-instelling gebruiken in het menu bestand. <br /> Als voor een zeer zeldzame reden waarom je wilt naar een andere tekenset gebruiken, kunt u dat hier doen.
|conf-topfolder|Dit Stel om de exacte map de sjabloon is in Als u in de root geïnstalleerd, is het "./" .. Als u in de standaard weer geïnstalleerd ?? map is het bijvoorbeeld "weather28 /"
|conf-wachtwoord|Nadat u volledig klaar zijn testen, kunt u een wachtwoord instellen om het moeilijker maken om uw instellingen bestanden. Maar wacht tot je zeker weet dat de steun niet meer nodig. Het is onmogelijk om te helpen de problemen veroorzaakt door fouten in de instellingen wanneer ze wachtwoord.
|conf-wuMember|Bent u lid van de Weather Underground, aka het uploaden van uw gegevens aan hen.
|conf-wuId|De ID van uw persoonlijke weerstation op de Wunderground site, bijvoorbeeld IVLAAMSG47.
|conf-wuStart|Stations eerste dag van de operatie op Weather Underground <br> formaat dd-mm-jjjj nodig voor alle wu template pagina's, bijvoorbeeld 15-03-2013..
|conf-mesonetMember|Bent u lid van een "Regional Weer Network". Voorbeelden: de BNLWN = Benelux Weer Netwerk, of de AKWN = Alaska Weer Netwerk. Alle Hun namen eindigen op WN.
|conf-mesoID|De ID / afkorting van dat netwerk, bijvoorbeeld AKWN.
|conf-mesoName|De naam te gebruiken op uw site voor dat netwerk, bijvoorbeeld: Alaska Weer Netwerk
|conf-mesoLink|De link / URL naar Hun belangrijkste website: http://alaskanweather.net/
|conf-hwaMember|Bent u lid van HetWeerActueel, aka zijn ze met behulp van uw weergegevens.
|conf-hwaID|De ID aan uw statuspagina acces op de HWA site, bijvoorbeeld: Herent
|conf-ewnMember|Bent u lid van het Europees netwerk van weerstations, aka zijn ze met behulp van uw weergegevens.
|conf-awekasMember|Bent u lid van AWEKAS, aka het uploaden van uw gegevens aan hen.
|conf-awekasID|De ID aan uw statuspagina acces op AWEKAS site, bijvoorbeeld: 8506
|conf-wcloudMember|Bent u lid van WeatherCloud.net, aka zijn ze met behulp van uw weergegevens.D1686817653:|
|conf-wcloud De ID uw eigen informatie over WeatherCloud.net, bijvoorbeeld acces.
|conf-cwopMember|cwopMember
|conf-cwopId|De ID om uw informatie-pagina acces op de CWOP site, bijvoorbeeld: C6440 <br />. Belangrijk: toegang tot uw gegevens voor de sjabloon pagina's de W Mocht uit de ID & lt worden verwijderd; br />. Hoewel dit station ID is CW6440 in Branford CT, worden de pagina's toegankelijk zonder de W, zodat de ID zou C6440 zijn.
|conf-wl_comMember|Als u een Davis IP-logger of gebruik het Weatherlink programma, kunt u uw gegevens uploaden naar WeatherLink.com.
|conf-weatherlinkID|De ID wordt gebruikt om toegang te krijgen tot je 2 pagina's in het WL.com website. Voorbeeld: wvdkuil.
|conf-anWeMember|<b> Anything-Weer </ b> Site
|conf-anWeID|De ID voor toegang tot uw informatie op hun website.
|conf-pwsMember|<b> pwsweather </ b> Site
|conf-pwsID|De ID voor toegang tot uw informatie op hun website.
|conf-wp24ID|<b> Wetterpage24 </ b> website.
|conf-USWG|<b> US Weer Group </ b> website.
|conf-cookie-support|Er is een aparte pagina "Customize" in het menu waar de bezoeker het kleurenschema, de standaard voorspeller en alle eenheden gebruikt kan veranderen. <br /> Tenminste als je kunnen uw bezoekers om dat te doen hier.
|conf-gebruiker verandering debug|Laat een bezoeker (en ondersteuning, en u zelf) te debuggen gebruiken = Y op de URL
|conf-gebruiker verander kleuren|Laat de gebruiker naar de website van kleuren / back-ground foto .Volgens "kleurstijlen" instelling te kiezen.
|conf-userChangeMenu|Sta gebruiker toe om verticale of horizontale menu's kiezen
|conf-gebruiker verandering header|Laat de gebruiker om te kiezen tussen de beschikbare headers
|conf-gebruiker veranderen Keuze|Sta gebruiker kiezen WhichPage wil weergegeven op de volgende bezoek
|conf-gebruiker verandering op lange|Disable / enable taalondersteuning. Laat het Als u meerdere talen op uw site.
|conf-userChangeUOM|Sta gebruiker toe om hun eigen eenheden van de meting te selecteren
|conf-gebruiker verandering prognose|Laat de gebruiker om te kiezen tussen verschillende prognose voor de startpagina
|conf-soilUsed|Sommige weer-stations en een aantal weer-programma's ter ondersteuning bevestigd bodem sensor.
|conf-soilPage|Er is een aparte pagina met bodemvocht en bodemtemperatuur informatie.
|conf-soilCount|Het aantal (1-4) van de bodem sensor aangesloten op uw station.
|conf-soilDepth_1|De diepte van de eerste bijgevoegde soilsensor <br />. Alle depts in dezelfde eenheid als u hebt opgegeven voor de sneeuw (cm of inch).
|conf-soilDepth_2|Diepte tweede sensor.
|conf-soilDepth_3|Diepte derde sensor.
|conf-soilDepth_4|Diepte vierde sensor.
|conf-uomMoist|maateenheid voor vocht in de bodem: CB (standaard) of kPa.
|conf-leafUsed|Bent Er blad sensor bevestigd?
|conf-leafCount|Aantal bijgevoegde blad sensor.
|conf-UV|Is een UV-sensor (ondersteund door de weer-programma) aangesloten op uw station?
|conf-SOLAR|Zelfde setting voor een zonne-sensor.
|conf-tempi zijde|In principe is het Andere instellingen vaak gebruikt voor de binnentemperatuur of een glas-house / zwembad-temp.
|conf-extraTemp1|Maar ze kunnen worden gebruikt voor een temperatuursensor die u wilt gebruiken. Bij gebruik op de standaard locaties (startpagina naast het thermometer) je kunt ze elke naam die u wilt geven.
|conf-extraTemp2|Als u een temp sensor in uw schuur en je wilt om het te controleren op de startpagina, een van de twee sensoren en gebruik de vertaling bestanden naar de correcte naam weergeeft zijn ingesteld.
|conf-DavisVP|Als u gebruik maakt van een Davis weerstation waarvoor de extra tekst U kunt opgeven prognose hier deed. Alle maar DW (Davis Weatherlink.com) weer-programma's zullen leveren Die teksten.
|conf-station tonen|In de zij- of bottom-gebied dat u kunt weergeven op basis van icoon van uw weerstation en een link &; br />. Je moet wat informatie te verstrekken over uw weerstation. <br /> De standaardinstellingen zijn voor een Davis station.
|conf-stationTxt|Merk / Type van uw station.
|conf-stationJpg|De locatie (of de URL) van een afbeelding.
|conf-station link|De URL van de website manuafacturers.
|conf-provider tonen|Net als de informatie over het merk van ons weerstation kunt u beslissen of u wilt informatie over de provider voor uw website weer te geven.
|conf-providerTxt|De naam van uw provider.
|conf-providerJpg|De link naar een afbeelding van de provider.
|conf-provider link|De URL naar hun belangrijkste site.
|conf-PCShow|Net als de informatie over het merk van uw weerstation kunt u beslissen of u wilt informatie over de computer weer te geven je je Weer-programma op te draaien.
|conf-pCtxt|Het merk van de computer of het apparaat dat u ASRE gebruikt.
|conf-pcJpg|De link naar een afbeelding.
|conf-PCLINK|De URL naar een relavant website.
|conf-WXsoftwareShow|De informatie en links voor je weer-programma zijn al in de scripts
|conf-commaDecimal|De meeste Europeanen gebruik maken van een komma voor een decimaalteken. De meeste Amerikanen een punt.
|conf-tempSimple|Of u kunt een 2-tone kleur gebruiken voor de temperatuur waarbij blauw = onder het vriespunt, rood = boven <br /> Of een lange reeks van kleuren van licht blauw naar diepste donkerrood..
|conf-text kleine letters|Optioneel al tekst kan gede Weergegeven als kleine letters.
|conf-nightDayBefore|weg zoals is, alleen veranderen als de tijd frames van een voorspelling niet overeenkomen met uw regionale formulering van dit.
|conf-uomTemp|De UOM worden ingesteld op basis van uw regio. Je kunt ze hier veranderen aan te passen aan de lokale gebruik.
|conf-uomBaro|Pressure
|conf-uomWind|Wind Snelheid
|conf-uomRain|Rain / melt
|conf-uomSnow|Sneeuwhoogte
|conf-uomDistance|Afstand
|conf-uomPerHour|/ uur
|conf-uomHeight|Hoogte
|conf-uurs weergave|Gebruik ofwel 24 uur of 12 uur display.
|conf-timeformat|Hoe de datum weer te geven - de tijd.| Alleen Conf-time formaat|Hoe tijd alleen weer te geven.| Alleen Conf-uurs formaat|Hoe het uur alleen weergegeven.
|conf-date enige formaat|Hoe tot op heden slechts weer te geven.
|conf-dateMDFormat|Hoe mot plus dag weer te geven.
|conf-date lange formaat|Hoe de beschrijvende mot Day tijd weer
|conf-my_date_format|Selecteer hoe je Weer-programma uploadt de actuele informatie door het selecteren van een "standaard" formaat hier.<br /> Als uw programma maakt gebruik van een niet beursgenoteerde indeling u moet kiezen "andere" en definieert het formaat stukken in de komende 4 regels.
|conf-my_char_sep|Wat separator wordt gebruikt tussen de verschillende onderdelen?
|conf-my_day|De dag deel is dan ook het eerste, tweede of derde deel van de datum string.
|conf-my_month|Hetzelfde geldt voor de maand deel.
|conf-my_year|Hetzelfde geldt voor het jaar deel.
|link-breedtegraad|Dit is een inzoombare kaart om uw lat / lang vinden
|link-lengtegraad|U kunt hier converteren van HH / MM / SS notatie naar decimale notatie
|link-radarstation|Vind uw station hier
|link-METAR|Een tekstbestand met "alle" metar codes kan hier gevonden worden
|link-yaPlaceID|Vind uw Yahoo ID stad hier
|link-colornumber|Bekijk alle verschillende kleur-regelingen beschikbaar
|link-socialSiteKey|Ga naar de website om je gratis AddThis sleutel te verkrijgen
|link-donateButton|Paypal stepts te voegen een donatie knop
|Link Waarschuwing omgeving|Ga naar de Meteoalarm site om uw netnummer vinden
|link-warnAreaNoaa|NOAA - NWS county / zonelijst
|link-wuKey|Ga naar de WU website uw eigen gratis API key aanvragen
|link-yrnoID|Ga naar de site om de juiste YrNo ID vinden voor uw gebied (s)
|link-worldAPI|Ga naar de Weather site om uw eigen gratis API key aanvragen
|link-geoKey|Hier kunt u uw "geo" look-up API Key kopen
|link-cwopId|Een voorbeeld van hoe de pagina op zoek naar <b> Noord-Amerikaanse </ b> gebruikers.
